#EEG-Jahresmeldung
#generiert am: 25.10.2022  14:54:38  manuell
#===================
##CSVTyp: EEGJahresmeldung
##Firma: 10009980 - EEG-Data Netz GmbH
##Netzgebiet: 01
##Jahr: 2022
##Monat: 14
##Email: artur.jaworski@capgemini.com
#
#Stammdaten EEG-Förderung
#Sektion|Anlagenschlüssel|EEG-MaStR-Nr|Anschrift|PLZ|Ort|Bundesland|Energieträger|Inbetriebnahmedatum|Netzzugangsdatum|Netzabgangsdatum|Außerbetriebnahmedatum|Installierte Leistung|Leistungsmessung|Regelbarkeit|Spannungsebene|Messlokations-ID|Anlagentyp|nördliche Breite Grad|nördliche Breite Bogenminuten|nördliche Breite Bogensekunden|östliche Länge Grad|östliche Länge Bogenminuten|östliche Länge Bogensekunden|Schalloptimierung|Biomasse KWK-Bonus|Biomasse Technologie-Bonus
S|E2063901DE00011521244190007830001||Ritscherstraße 22|21244|Buchholz i.d.N.|N|85|29.11.2006|29.11.2021|||1.560,000|3|4|SpE05|DE00011521244ESM00000000000000053|Biomasse|||||||0|2|2
S|E2063901DE00011521244190008230005||Ritscherstraße 4|21244|Buchholz i.d.N.|N|85|13.12.2011|01.09.2012|||1.165,000|1|1|SpE05|DE00011521244ESM00000000000000055|Biomasse|||||||0|0|0
S|E2063901DE00011521244190008230006||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2021||||20,000|1|1|SpE05|DE00011521244ESM00000000000000055|MSZ-Anlage|||||||0|0|0
S|E2063901DE00011521244190008230007||Ritscherstraße 4|21244|Buchholz i.d.N.|N|87|13.12.2021||||65,000|1|1|SpE05|DE00011521244ESM00000000000000055|MSZ-Anlage|||||||0|0|0
S|E2063901DE00011521244190008230008||Ritscherstraße 4|21244|Buchholz i.d.N.|N|81|13.12.2000||||65,000|1|1|SpE05|DE00011521244ESM00000000000000055|MSZ-Anlage|||||||0|0|0
S|E2063901DE00011521244190008230009||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2011||||60,000|1|1|SpE05|DE00011521244ESM00000000000000055|SV-Anlage|||||||0|0|0
S|E2000269E000000000010104472100000||Ritscherstraße 4|21244|Buchholz i.d.N.|N|85|13.12.2014||||65,000|1|1|SpE05|DE00011521244ESM00000000000000055|SV-Anlage|||||||0|0|0
S|E270640100001011950200BIOB0100001||Ritscherstraße 4|21244|Buchholz i.d.N.|N|85|13.12.2014||||65,000|1|1|SpE05|||||||||0|0|0
S|E2079301EA03000000000068557900003||Ritscherstraße 4|21244|Buchholz i.d.N.|N|85|13.12.2014||||65,000|1|1|SpE05|||||||||0|0|0
S|E2011401EBIOM00000009000000600001||Ritscherstraße 4|21244|Buchholz i.d.N.|N|85|13.12.2014||||750,001|1|1|SpE05|||||||||0|0|0
S|E2063901DE00011521244190008230MSZ||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2021||||20,000|1|1|SpE05|DE00011521244ESM00000000000000055|MSZ-Anlage|||||||0|0|0
S|E2063901DE000115212441900ausgefSo||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2000||||60,000|3|1|SpE05|DE00011521244ESM00000000000000055|ausgefördert|||||||0|0|0
S|E2063901DE00011521244190007GKA-Bi|EEG980864057481|Ritscherstraße 22|21244|Buchholz i.d.N.|N|85|29.11.2000||||150,001|3|4|SpE05||Güllekleinanlage nach EEV|||||||0|0|0
S|E2063901DE000115212441900ausgefWi|EEG925560506628|Ritscherstraße 22|21244|Buchholz i.d.N.|N|87|29.11.2000||||150,010|3|4|SpE05||ausgefördert|||||||0|0|0
S|E2063901DE000115212441900082300Wa||Ritscherstraße 4|21244|Buchholz i.d.N.|N|81|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300De||Ritscherstraße 4|21244|Buchholz i.d.N.|N|82|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300Kl||Ritscherstraße 4|21244|Buchholz i.d.N.|N|83|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300Gr||Ritscherstraße 4|21244|Buchholz i.d.N.|N|84|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300Ga||Ritscherstraße 4|21244|Buchholz i.d.N.|N|83|13.12.2002||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300Ge||Ritscherstraße 4|21244|Buchholz i.d.N.|N|86|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300Wi||Ritscherstraße 4|21244|Buchholz i.d.N.|N|87|13.12.2002||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055|Wind|||||||0|0|0
S|E2063901DE000115212441900082300Wr||Ritscherstraße 4|21244|Buchholz i.d.N.|N|87|13.12.2009||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055|Wind Repower|||||||0|0|0
S|E2063901DE000115212441900082300Wn||Ritscherstraße 4|21244|Buchholz i.d.N.|N|87|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300Wf||Ritscherstraße 4|21244|Buchholz i.d.N.|N|88|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055||||||||0|0|0
S|E2063901DE000115212441900082300So||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2021||||5.000,000|1|1|SpE05|DE00011521244ESM00000000000000055|Freifläche|||||||0|0|0
S|E2063901DE000115212441900082300Sg||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2021||||50,000|2|2|SpE05|DE00011521244ESM00000000000000055|Gebäude MSZ|||||||0|0|0
S|E2063901DE000115212441900082300SV||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2011||||50,000|2|2|SpE05|DE00011521244ESM00000000000000055|Gebäude Selbstverbrauch|||||||0|0|0
S|E2063901DE00011521244190008230PSB||Ritscherstraße 4|21244|Buchholz i.d.N.|N|89|13.12.2022||||850,000|1|1|SpE05|DE00011521244ESM00000000000000056|Ausschreibung PSB|||||||0|0|0
S|E2063901DE000115212441900078300Bi||Ritscherstraße 22|21244|Buchholz i.d.N.|N|85|13.12.2021|14.12.2021|||1.560,000|3|4|SpE05|DE00011521244ESM00000000000000053|Biomasse|||||||0|2|2
#Bewegungsdaten EEG-Förderung
#Sektion|Anlagenschlüssel|Kategorie|Sachverhalt|Monat|Energiemenge|Vergütung
1|2|E2056801S160000000000001119300002|2018|EV61g2-NEEG-20|1.500,000|-15,00|
1|2|E2056801S160000000000001119300002|2018|SP61k1--AUS-EV|1.600,000|16,00|
1|2|E2056801S160000000000001119300002|2018|SP61k2--AUS-EV|1.700,000|17,00|
1|2|E2056801S160000000000001119300002|2019|EV6111NEEG-RED|110,000|-11,00|
1|2|E2056801S160000000000001119300002|2019|EV61c2-HKWK160|77.777,777|-7.777,77|
1|2|E2056801S160000000000001119300002|2019|EV61e1-2NEEG20|20,000|-2,00|
1|2|E2056801S160000000000001119300002|2019|EV611--HKWK100|30,000|-3,00|
1|2|E2056801S160000000000001119300002|2019|EV61g2-NEEG-20|40,000|-4,00|
1|2|E2056801S160000000000001119300002|2019|SP61k1--AUS-EV|50,000|5,00|
1|2|E2056801S160000000000001119300002|2019|SP61k2--AUS-EV|60,000|6,00|
1|2|E2056801S160000000000001119300002|2020|EV6111NEEG-RED|1.100,000|-110,00|
1|2|E2056801S160000000000001119300002|2020|EV61c2-HKWK160|777.777,777|-77.777,77|
1|2|E2056801S160000000000001119300002|2020|EV61e1-2NEEG20|200,000|-20,00|
1|2|E2056801S160000000000001119300002|2020|EV611--HKWK100|300,000|-30,00|
1|2|E2056801S160000000000001119300002|2020|EV61g2-NEEG-20|400,000|-40,00|
1|2|E2056801S160000000000001119300002|2020|SP61k1--AUS-EV|500,000|50,00|
1|2|E2056801S160000000000001119300002|2020|SP61k2--AUS-EV|600,000|60,00|
1|2|E2056801S160000000000001119300002|2021|EV6111NEEG-RED|11.000,000|-1.100,00|
1|2|E2056801S160000000000001119300002|2021|EV61c2-HKWK160|7.777.777,777|-777.777,77|
1|2|E2056801S160000000000001119300002|2021|EV61e1-2NEEG20|2.000,000|-200,00|
1|2|E2056801S160000000000001119300002|2021|EV611--HKWK100|3.000,000|-300,00|
1|2|E2056801S160000000000001119300002|2021|EV61g2-NEEG-20|4.000,000|-400,00|
1|2|E2056801S160000000000001119300002|2021|SP61k1--AUS-EV|5.000,000|500,00|
1|2|E2056801S160000000000001119300002|2021|SP61k2--AUS-EV|6.000,000|600,00|
1|2|E2056801S160000000000001119300002|2022|EV6111NEEG-RED|111.000,000|-11.100,00|
1|2|E2056801S160000000000001119300002|2022|EV61c2-HKWK160|7.777.777,777|-777.777,77|
1|2|E2056801S160000000000001119300002|2022|EV61e1-2NEEG20|2.000,000|-200,00|
1|2|E2056801S160000000000001119300002|2022|EV611--HKWK100|3.000,000|-300,00|
1|2|E2056801S160000000000001119300002|2022|EV61g2-NEEG-20|4.000,000|-400,00|
1|2|E2056801S160000000000001119300002|2022|SP61k1--AUS-EV|5.000,000|500,00|
1|2|E2056801S160000000000001119300002|2022|SP61k2--AUS-EV|6.000,000|600,00|
1|2|E2056801S160000000000001119300002|2022|EV6124NEEG---0|80,000|0,00|
1|2|E2056801S160000000000001119300002|2022|EV604NEEG-ZINS|0,000|-7,00|
1|3|E2056801S160000000000001119300004|2014|EV61121NEEG100|2.000,000|-200,00|
1|3|E2056801S160000000000001119300004|2015|EV61121NEEG100|4.000,000|-400,00|
1|3|E2056801S160000000000001119300004|2016|EV61121NEEG100|6.000,000|-600,00|
1|3|E2056801S160000000000001119300004|2017|EV611--NEEG100|8.000,000|-800,00|
1|3|E2056801S160000000000001119300004|2017|EV61g2-NEEG-20|9.000,000|-900,00|
1|3|E2056801S160000000000001119300004|2017|SP61k1--AUS-EV|1.010.100.000,000|10.101.000,00|
1|3|E2056801S160000000000001119300004|2017|SP61k2--AUS-EV|1.111.110.000,000|11.111.100,00|
1|3|E2056801S160000000000001119300004|2018|EV61e1-2NEEG20|130.000,000|-1.300,00|
1|3|E2056801S160000000000001119300004|2018|EV611--NEEG100|140.000,000|-1.400,00|
1|3|E2056801S160000000000001119300004|2018|EV61g2-NEEG-20|150.000,000|-1.500,00|
1|3|E2056801S160000000000001119300004|2018|SP61k1--AUS-EV|1.616.160.000,000|16.161.600,00|
1|3|E2056801S160000000000001119300004|2018|SP61k2--AUS-EV|1.717.170.000,000|17.171.700,00|
1|3|E2056801S160000000000001119300004|2019|EV61e1-2NEEG20|200,000|-20,00|
1|3|E2056801S160000000000001119300004|2019|EV611--NEEG100|300,000|-30,00|
1|3|E2056801S160000000000001119300004|2019|EV61g2-NEEG-20|400,000|-40,00|
1|3|E2056801S160000000000001119300004|2019|SP61k1--AUS-EV|500,000|50,00|
1|3|E2056801S160000000000001119300004|2019|SP61k2--AUS-EV|600,000|60,00|
1|3|E2056801S160000000000001119300004|2020|EV61e1-2NEEG20|2.000,000|-200,00|
1|3|E2056801S160000000000001119300004|2020|EV611--NEEG100|3.000,000|-300,00|
1|3|E2056801S160000000000001119300004|2020|EV61g2-NEEG-20|4.000,000|-400,00|
1|3|E2056801S160000000000001119300004|2020|SP61k1--AUS-EV|555.000,000|55.500,00|
1|3|E2056801S160000000000001119300004|2020|SP61k2--AUS-EV|666.000,000|66.600,00|
1|3|E2056801S160000000000001119300004|2021|EV61e1-2NEEG20|20.000,000|-2.000,00|
1|3|E2056801S160000000000001119300004|2021|EV611--NEEG100|30.000,000|-3.000,00|
1|3|E2056801S160000000000001119300004|2021|EV61g2-NEEG-20|40.000,000|-4.000,00|
1|3|E2056801S160000000000001119300004|2021|SP61k1--AUS-EV|5.550.000,000|555.000,00|
1|3|E2056801S160000000000001119300004|2021|SP61k2--AUS-EV|6.660.000,000|666.000,00|
1|3|E2056801S160000000000001119300004|2022|EV61e1-2NEEG20|20.000,000|-2.000,00|
1|3|E2056801S160000000000001119300004|2022|EV611--NEEG100|30.000,000|-3.000,00|
1|3|E2056801S160000000000001119300004|2022|EV61g2-NEEG-20|40.000,000|-4.000,00|
1|3|E2056801S160000000000001119300004|2022|SP61k1--AUS-EV|5.550.000,000|555.000,00|
1|3|E2056801S160000000000001119300004|2022|SP61k2--AUS-EV|6.660.000,000|666.000,00|
1|3|E2056801S160000000000001119300004|2022|EV6124NEEG---0|800,000|0,00|
1|3|E2056801S160000000000001119300004|2022|EV604NEEG-ZINS|0,000|-70,00|
1|4|E2056801S160000000000001119300005|2014|EV6111-EEG-RED|110.000,000|-11.000,00|
1|4|E2056801S160000000000001119300005|2014|EV61122-EEG100|20.000,000|-2.000,00|
1|4|E2056801S160000000000001119300005|2015|EV6111-EEG-RED|330.000,000|-33.000,00|
1|4|E2056801S160000000000001119300005|2015|EV61122-EEG100|40.000,000|-4.000,00|
1|4|E2056801S160000000000001119300005|2016|EV6111-EEG-RED|550.000,000|-55.000,00|
1|4|E2056801S160000000000001119300005|2016|EV61122-EEG100|60.000,000|-6.000,00|
1|4|E2056801S160000000000001119300005|2017|EV6111-EEG-RED|770.000,000|-77.000,00|
1|4|E2056801S160000000000001119300005|2017|EV61122-EEG100|80.000,000|-8.000,00|
1|4|E2056801S160000000000001119300005|2017|EV61g2-EEG--20|90.000,000|-9.000,00|
1|4|E2056801S160000000000001119300005|2018|EV6111-EEG-RED|1.212.000.000,000|-12.120.000,00|
1|4|E2056801S160000000000001119300005|2018|EV61e1-2-EEG20|13.000.000,000|-130.000,00|
1|4|E2056801S160000000000001119300005|2018|EV61122-EEG100|14.000.000,000|-140.000,00|
1|4|E2056801S160000000000001119300005|2018|EV61g2-EEG--20|15.000.000,000|-150.000,00|
1|4|E2056801S160000000000001119300005|2019|EV6111-EEG-RED|11.000,000|-1.100,00|
1|4|E2056801S160000000000001119300005|2019|EV61e1-2-EEG20|2.000,000|-200,00|
1|4|E2056801S160000000000001119300005|2019|EV61122-EEG100|3.000,000|-300,00|
1|4|E2056801S160000000000001119300005|2019|EV61g2-EEG--20|4.000,000|-400,00|
1|4|E2056801S160000000000001119300005|2020|EV6111-EEG-RED|110.000,000|-11.000,00|
1|4|E2056801S160000000000001119300005|2020|EV61e1-2-EEG20|20.000,000|-2.000,00|
1|4|E2056801S160000000000001119300005|2020|EV61122-EEG100|30.000,000|-3.000,00|
1|4|E2056801S160000000000001119300005|2020|EV61g2-EEG--20|40.000,000|-4.000,00|
1|4|E2056801S160000000000001119300005|2021|EV6111-EEG-RED|1.100.000,000|-110.000,00|
1|4|E2056801S160000000000001119300005|2021|EV61e1-2-EEG20|200.000,000|-20.000,00|
1|4|E2056801S160000000000001119300005|2021|EV61122-EEG100|300.000,000|-30.000,00|
1|4|E2056801S160000000000001119300005|2021|EV61g2-EEG--20|400.000,000|-40.000,00|
1|4|E2056801S160000000000001119300005|2022|EV6111-EEG-RED|11.000.000,000|-1.100.000,00|
1|4|E2056801S160000000000001119300005|2022|EV61e1-2-EEG20|200.000,000|-20.000,00|
1|4|E2056801S160000000000001119300005|2022|EV61122-EEG100|300.000,000|-30.000,00|
1|4|E2056801S160000000000001119300005|2022|EV61g2-EEG--20|400.000,000|-40.000,00|
1|4|E2056801S160000000000001119300005|2022|EV6124-EEG---0|8.000,000|0,00|
1|4|E2056801S160000000000001119300005|2022|EV604-EEG-ZINS|0,000|-700,00|
1|5|E2056801S160000000000001119300006|2014|EV61121NEEG100|200.000,000|-20.000,00|
1|5|E2056801S160000000000001119300006|2015|EV61121NEEG100|400.000,000|-40.000,00|
1|5|E2056801S160000000000001119300006|2016|EV61121NEEG100|600.000,000|-60.000,00|
1|5|E2056801S160000000000001119300006|2017|EV611--NEEG100|800.000,000|-80.000,00|
1|5|E2056801S160000000000001119300006|2017|EV61g2-NEEG-20|900.000,000|-90.000,00|
1|5|E2056801S160000000000001119300006|2018|EV61e1-2NEEG20|1.300.000.000,000|-13.000.000,00|
1|5|E2056801S160000000000001119300006|2018|EV611--NEEG100|1.400.000.000,000|-14.000.000,00|
1|5|E2056801S160000000000001119300006|2018|EV61g2-NEEG-20|1.500.000.000,000|-15.000.000,00|
1|5|E2056801S160000000000001119300006|2019|EV61e1-2NEEG20|20.000,000|-2.000,00|
1|5|E2056801S160000000000001119300006|2019|EV611--NEEG100|30.000,000|-3.000,00|
1|5|E2056801S160000000000001119300006|2019|EV61g2-NEEG-20|40.000,000|-4.000,00|
1|5|E2056801S160000000000001119300006|2020|EV61e1-2NEEG20|200.000,000|-20.000,00|
1|5|E2056801S160000000000001119300006|2020|EV611--NEEG100|300.000,000|-30.000,00|
1|5|E2056801S160000000000001119300006|2020|EV61g2-NEEG-20|400.000,000|-40.000,00|
1|5|E2056801S160000000000001119300006|2021|EV61e1-2NEEG20|2.000.000,000|-200.000,00|
1|5|E2056801S160000000000001119300006|2021|EV611--NEEG100|3.000.000,000|-300.000,00|
1|5|E2056801S160000000000001119300006|2021|EV61g2-NEEG-20|4.000.000,000|-400.000,00|
1|5|E2056801S160000000000001119300006|2022|EV61e1-2NEEG20|2.000.000,000|-200.000,00|
1|5|E2056801S160000000000001119300006|2022|EV611--NEEG100|3.000.000,000|-300.000,00|
1|5|E2056801S160000000000001119300006|2022|EV61g2-NEEG-20|4.000.000,000|-400.000,00|
1|5|E2056801S160000000000001119300006|2022|EV6124NEEG---0|80.000,000|0,00|
1|5|E2056801S160000000000001119300006|2022|EV604NEEG-ZINS|0,000|-7.000,00|


#Sektion|Anlagenschlüssel|EEG-MaStR-Nr|Anschrift|PLZ|Ort|Bundesland|Energieträger|Inbetriebnahmedatum|Netzzugangsdatum|Netzabgangsdatum|Außerbetriebnahmedatum|Installierte Leistung|Leistungsmessung|Regelbarkeit|Spannungsebene|Messlokations-ID|Anlagentyp|nördliche Breite Grad|nördliche Breite Bogenminuten|nördliche Breite Bogensekunden|östliche Länge Grad|östliche Länge Bogenminuten|östliche Länge Bogensekunden|Schalloptimierung|Biomasse KWK-Bonus|Biomasse Technologie-Bonus


#Sektion|Anlagentyp|Anlagenschlüssel|Jahr|Kategorie|Strommenge|Euro-Betrag|Bilanzkreis

eng
#Section|Installation key|EEG-MaStR-No|Address|postcode|City|Federal State|Energy carrier|Commissioning date|Grid access date|Grid disconnection date|Commissioning date|Installed power|Power measurement|Controllability|Voltage level|Measurement location- ID|plant type|northern latitude degrees|northern latitude arcminutes|northern latitude arcseconds|eastern longitude degrees|eastern longitude arcminutes|eastern longitude arcseconds|sound optimization|biomass CHP bonus|biomass technology bonus

#Section|System type|System key|Year|Category|Electricity quantity|Euro amount|Balance sheet group


pl
#Sekcja|Klucz instalacji|EEG-MaStR-No|Adres|Kod pocztowy|Miasto|Stan|Noœnik energii|Data uruchomienia|Data dostêpu do sieci|Data od³¹czenia od sieci|Data uruchomienia|Zainstalowana moc|Pomiar mocy|Mo¿liwoœæ kontroli|Poziom napiêcia|Lokalizacja pomiaru- ID|typ instalacji|stopnie szerokoœci geograficznej pó³nocnej|minuty ³uku szerokoœci geograficznej pó³nocnej|csekundy ³uku szerokoœci geograficznej pó³nocnej|stopnie d³ugoœci geograficznej wschodniej|minuty ³uku d³ugoœci geograficznej wschodniej|csekundy ³uku d³ugoœci geograficznej wschodniej|optymalizacja dŸwiêku|premia za kogeneracjê z biomasy|premia za technologiê biomasy

#Sekcja|Typ systemu|Klucz systemu|Rok|Kategoria|Iloœæ energii elektrycznej|Kwota w euro|Grupa bilansowa


master key;
street;
post code;
Name;
region;
fuel;
start date;
end date;
modification date;
power;
power type
Controllability 0-1
Voltage level
Measurement location ID
plant type
sound optimization 0-3
biomass bonus 0-1
biomass technology bonus 0-1

    private String masterKey;
    private String city;
    private String street;
    private String postCode;
    private String name;
    private String region;
    private Integer fuel;
    private Date startDate;
    private Date endDate;
    private Date modificationDate;
    private Integer power;
    private PowerTypeEnum powerType;
    private Boolean controllability;
    private VoltageLevelEnum voltageLevel;
    private String measurementLocationId;
    private PlantTypeEnum plantType;
    private Integer soundOptimization;
    private Boolean isBiomassBonus;
    private Boolean isBiomassTechnologyBonus;

    private String masterKey;
    private DataType dataType;
    private Integer year;
    private Integer month;
    private Integer day;
    private BigDecimal quantity;
    private BigDecimal amount;

walidacje:
MasterData
masterKey -> not null, not empty, unique, size = 29
city -> not null, not empty, max size 256
street -> not null, not empty, max size 256
postCode -> not null, not empty, size = 5
name -> not null, not empty, max size 256
region -> not null, not empty, size = 2
fuel -> not null, not empty, > 100
startDate -> not null, not empty, > 1900-01-01, < date.now, < endDate
endDate -> nullable, > startDate
modificationDate -> nullable, > startDate, < endDate
power -> not null, not empty > 0
powerType -> not null, not empty, size = 5
controllability -> not null, not empty, = 0 || 1
voltageLevel -> not null, not empty, size = 5
measurementLocationId -> not null, not empty, size = 26
plantType -> not null, not empty
soundOptimization -> not null, not empty
isBiomassBonus -> not null, not empty
isBiomassTechnologyBonus -> not null, not empty

ActualData
masterKey -> not null, not empty, exist
dataReportType -> not null, not empty
year -> not null, not empty
month -> not null, not empty
day -> not null, not empty
quantity -> not null, not empty, > 0, scale = 3
amount -> not null, not empty, scale = 2
unique(masterKey, dataType, year, month, day)
valid date

20min

temat
	Analiza wydajnoœci wczytywania oraz walidacji du¿ych plików CSV i czasu ich przetwarzania w jêzyku java. 
Definicje:
	pliki CSV
	JAVA
	problem wczytywania plików
	problem walidacji plików
cel
	porównanie ró¿nych podejœæ do wczytywania oraz walidacji plików w formacie csv.
geneza pomys³u
	praca w projekcie 
metodologia
	porównanie wczytywania plików za pomoc¹ ró¿nych podejœæ:
		BufferedReader (File.newBufferedReader) FileReader, InputStream
		Scannner
		Files.lines
		DataInputStream
		CSVReader
	porównanie walidacji:
		walidacja po wczytaniu wszystkich danych
		walidacja przy wczytywaniu danych
	wielow¹tkowoœæ:
		tak
		nie
	wielkoœæ plików:
		100MB, 250MB, 500MB, 1GB, 2GB, 4GB
	
obecny postêp
	generator danych csv w po¿adanym formacie
	"szkielet" programu 
ocena jak dane rozwi¹zanie sprawdzi³oby siê na œrodowisku produkcyjnym:
	wady, zalety, czytelnoœæ, utrzymywalnoœæ, reu¿ywalnoœæ

Z WALIDACJ¥:

100MB
Time for BufferReaderCase: 1.859s	2
Time for ScannerCase: 2.288s		4
Time for FilesLinesCase: 1.664s		1
Time for FileReaderCase: 2.584s		5
Time for CSVReaderCase: 2.11s		3

1GB
Time for BufferReaderCase: 17.378s	3
Time for ScannerCase: 22.505s		4
Time for FilesLinesCase: 16.674s	1
Time for FileReaderCase: 26.601s	5
Time for CSVReaderCase: 21.155s		2

Po optymalizacji:
Time for FileReaderCase: 1.972s
Time for FileReaderCase: 16.607s
Time for FileReaderCase: 76.56s

Time for BufferReaderCase: 1.7s
Time for BufferReaderCase: 16.5s
Time for BufferReaderCase: 75.128s

Time for ScannerCase: 2.382s
Time for ScannerCase: 21.298s
Time for ScannerCase: 97.377s

Time for FilesLinesCase: 1.795s
Time for FilesLinesCase: 16.432s
Time for FilesLinesCase: 75.457s string.split
Time for FilesLinesCase: 72.423s splitLine

Time for CSVReaderCase: 2.28s
Time for CSVReaderCase: 19.309s
Time for CSVReaderCase: 96.557s

Memory
4gb
Time for BufferReaderCase: 84.595s	1
Time for ScannerCase: 101.145s		4
Time for FilesLinesCase: 87.243s	2
Time for FileReaderCase: 109.939s	5
Time for CSVReaderCase: 100.583s	3

8gb?
Time for BufferReaderCase: 	49mln/96
Time for ScannerCase: 		49
Time for FilesLinesCase: 	49
Time for FileReaderCase: 	49
Time for CSVReaderCase: 	49


4,5gb - 54mln
Time for BufferReaderCase:	214.367s
Time for ScannerCase: 		293.366s
Time for FilesLinesCase: 	223.202s
Time for FileReaderCase: 	273.672s
Time for CSVReaderCase: 	232.844s



__________________________________________
BEZ WALIDACJI:

100mb
Time for BufferReaderWithoutValidation: 1.389s
Time for ScannerWithoutValidation: 1.95s
Time for FilesLinesWithoutValidation: 1.432s
Time for FileReaderWithoutValidation: 1.924s
Time for CSVReaderWithoutValidation: 1.907s


1gb
Time for BufferReaderWithoutValidation: 16.848s
Time for ScannerWithoutValidation: 21.176s
Time for FilesLinesWithoutValidation: 16.896s
Time for FileReaderWithoutValidation: 21.503s
Time for CSVReaderWithoutValidation: 21.275s

4gb
Time for BufferReaderWithoutValidation: 83.053s
Time for ScannerWithoutValidation: 101.545s
Time for FilesLinesWithoutValidation: 85.639s
Time for FileReaderWithoutValidation: 108.688s
Time for CSVReaderWithoutValidation: 120.838s


all
100mb
Time for BufferReaderCase: 				1.776s	5
Time for ScannerCase: 					2.061s	9
Time for FilesLinesCase: 				1.544s	3
Time for FileReaderCase: 				1.731s	4
Time for CSVReaderCase: 				2.066s	10
Time for BufferReaderWithoutValidation: 1.389s	1
Time for ScannerWithoutValidation: 		1.95s	8
Time for FilesLinesWithoutValidation: 	1.432s	2
Time for FileReaderWithoutValidation: 	1.924s	7
Time for CSVReaderWithoutValidation: 	1.907s	6

1gb
Time for BufferReaderCase: 				16.076s	2
Time for ScannerCase: 					20.239s	6
Time for FilesLinesCase: 				15.552s	1
Time for FileReaderCase: 				19.173s	5
Time for CSVReaderCase: 				20.733s	7
Time for BufferReaderWithoutValidation: 17.115s	3
Time for ScannerWithoutValidation: 		21.104s	8
Time for FilesLinesWithoutValidation: 	17.132s	4
Time for FileReaderWithoutValidation: 	22.96s	9
Time for CSVReaderWithoutValidation: 	24.741s	10

Po optymalizacji

Time for BufferReaderWithoutValidation: 1.841s
Time for BufferReaderWithoutValidation: 16.844s
Time for BufferReaderWithoutValidation: 84.991s

Time for ScannerWithoutValidation: 2.311s
Time for ScannerWithoutValidation: 20.758s
Time for ScannerWithoutValidation: 98.225s

Time for FilesLinesWithoutValidation: 1.964s
Time for FilesLinesWithoutValidation: 17.076s
Time for FilesLinesWithoutValidation: 87.648s

Time for FileReaderWithoutValidation: 2.053s
Time for FileReaderWithoutValidation: 18.884s
Time for FileReaderWithoutValidation: 92.49s

Time for CSVReaderWithoutValidation: 2.724s
Time for CSVReaderWithoutValidation: 25.214s
Time for CSVReaderWithoutValidation: 115.507s


__________________________________________

100mb
Time for BufferReaderCase:					1.74s	7
Time for ScannerCase:						2.004s	9
Time for FilesLinesCase:					1.392s	4
Time for FileReaderCase:					1.28s	1
Time for CSVReaderCase:						1.912s	8
Time for BufferReaderWithoutValidation:		1.343s	3
Time for ScannerWithoutValidation:			1.715s	6
Time for FilesLinesWithoutValidation:		1.316s	2
Time for FileReaderWithoutValidation:		1.656s	5
Time for CSVReaderWithoutValidation:		2.289s	10

1gb
Time for BufferReaderCase: 					15.987s	1
Time for ScannerCase: 						21.529s	9
Time for FilesLinesCase: 					16.145s	2
Time for FileReaderCase: 					17.199s	5
Time for CSVReaderCase: 					21.18s	8
Time for BufferReaderWithoutValidation:	 	16.51s	3
Time for ScannerWithoutValidation: 			20.369s	7
Time for FilesLinesWithoutValidation: 		16.778s	4
Time for FileReaderWithoutValidation: 		20.177s	6
Time for CSVReaderWithoutValidation: 		24.134s	10

4gb
Time for BufferReaderCase: 					73.869s	1
Time for ScannerCase: 						91.843s	6
Time for FilesLinesCase: 					76.183s	3
Time for FileReaderCase: 					75.897s	2
Time for CSVReaderCase: 					97.616s	8
Time for BufferReaderWithoutValidation: 	84.335s	4
Time for ScannerWithoutValidation: 			99.406s	9
Time for FilesLinesWithoutValidation: 		85.083s	5
Time for FileReaderWithoutValidation: 		96.945s	7
